Date,Day_of_Week,Holiday_Indicator,Sales
2012-05-22,Tuesday,0,264
2012-05-23,Wednesday,0,284
2012-05-24,Thursday,0,306
2012-05-25,Friday,0,362
2012-05-26,Saturday,0,169
2012-05-27,Sunday,1,274
2012-05-28,Monday,0,306
2012-05-29,Tuesday,0,343
2012-05-30,Wednesday,0,384
2012-05-31,Thursday,0,290
2012-06-01,Friday,0,255
2012-06-02,Saturday,0,173
2012-06-03,Sunday,0,167
2012-06-04,Monday,0,318
2012-06-05,Tuesday,0,284
2012-06-06,Wednesday,0,259
2012-06-07,Thursday,0,284
2012-06-08,Friday,0,298
2012-06-09,Saturday,0,169
2012-06-10,Sunday,0,164
2012-06-11,Monday,0,297
2012-06-12,Tuesday,0,300
2012-06-13,Wednesday,0,305
2012-06-14,Thursday,0,286
2012-06-15,Friday,0,264
2012-06-16,Saturday,0,159
2012-06-17,Sunday,0,175
2012-06-18,Monday,0,246
2012-06-19,Tuesday,0,278
2012-06-20,Wednesday,0,258
2012-06-21,Thursday,0,269
2012-06-22,Friday,0,303
2012-06-23,Saturday,0,159
2012-06-24,Sunday,0,157
2012-06-25,Monday,0,232
2012-06-26,Tuesday,0,288
2012-06-27,Wednesday,0,286
2012-06-28,Thursday,0,326
2012-06-29,Friday,0,260
2012-06-30,Saturday,0,160
2012-07-01,Sunday,0,206
2012-07-02,Monday,0,400
2012-07-03,Tuesday,0,342
2012-07-04,Wednesday,0,355
2012-07-05,Thursday,0,366
2012-07-06,Friday,0,352
2012-07-07,Saturday,0,192
2012-07-08,Sunday,0,205
2012-07-09,Monday,0,382
2012-07-10,Tuesday,0,310
2012-07-11,Wednesday,0,350
2012-07-12,Thursday,0,321
2012-07-13,Friday,0,386
2012-07-14,Saturday,0,170
2012-07-15,Sunday,0,190
2012-07-16,Monday,0,358
2012-07-17,Tuesday,0,399
2012-07-18,Wednesday,0,343
2012-07-19,Thursday,0,326
2012-07-20,Friday,0,410
2012-07-21,Saturday,0,172
2012-07-22,Sunday,0,157
2012-07-23,Monday,0,360
2012-07-24,Tuesday,0,328
2012-07-25,Wednesday,0,310
2012-07-26,Thursday,0,370
2012-07-27,Friday,0,354
2012-07-28,Saturday,0,190
2012-07-29,Sunday,0,175
2012-07-30,Monday,0,375
2012-07-31,Tuesday,0,368
2012-08-01,Wednesday,0,380
2012-08-02,Thursday,0,454
2012-08-03,Friday,0,342
2012-08-04,Saturday,0,189
2012-08-05,Sunday,0,208
2012-08-06,Monday,0,382
2012-08-07,Tuesday,0,393
2012-08-08,Wednesday,0,374
2012-08-09,Thursday,0,397
2012-08-10,Friday,0,335
2012-08-11,Saturday,0,256
2012-08-12,Sunday,0,222
2012-08-13,Monday,0,426
2012-08-14,Tuesday,0,397
2012-08-15,Wednesday,1,602
2012-08-16,Thursday,0,405
2012-08-17,Friday,0,401
2012-08-18,Saturday,0,238
2012-08-19,Sunday,1,380
2012-08-20,Monday,1,587
2012-08-21,Tuesday,0,411
2012-08-22,Wednesday,0,380
2012-08-23,Thursday,0,439
2012-08-24,Friday,0,358
2012-08-25,Saturday,0,264
2012-08-26,Sunday,0,223
2012-08-27,Monday,0,329
2012-08-28,Tuesday,0,388
2012-08-29,Wednesday,0,357
2012-08-30,Thursday,0,416
2012-08-31,Friday,0,358
2012-09-01,Saturday,0,235
2012-09-02,Sunday,0,199
2012-09-03,Monday,0,403
2012-09-04,Tuesday,0,320
2012-09-05,Wednesday,0,355
2012-09-06,Thursday,0,454
2012-09-07,Friday,0,455
2012-09-08,Saturday,0,256
2012-09-09,Sunday,0,222
2012-09-10,Monday,0,420
2012-09-11,Tuesday,0,422
2012-09-12,Wednesday,0,373
2012-09-13,Thursday,0,485
2012-09-14,Friday,0,459
2012-09-15,Saturday,0,240
2012-09-16,Sunday,0,247
2012-09-17,Monday,0,431
2012-09-18,Tuesday,0,336
2012-09-19,Wednesday,0,411
2012-09-20,Thursday,0,393
2012-09-21,Friday,0,380
2012-09-22,Saturday,0,239
2012-09-23,Sunday,0,290
2012-09-24,Monday,0,449
2012-09-25,Tuesday,0,398
2012-09-26,Wednesday,0,446
2012-09-27,Thursday,0,481
2012-09-28,Friday,0,461
2012-09-29,Saturday,0,247
2012-09-30,Sunday,0,230
2012-10-01,Monday,0,575
2012-10-02,Tuesday,1,838
2012-10-03,Wednesday,0,585
2012-10-04,Thursday,0,571
2012-10-05,Friday,0,594
2012-10-06,Saturday,0,296
2012-10-07,Sunday,0,354
2012-10-08,Monday,0,548
2012-10-09,Tuesday,0,649
2012-10-10,Wednesday,0,500
2012-10-11,Thursday,0,630
2012-10-12,Friday,0,548
2012-10-13,Saturday,0,293
2012-10-14,Sunday,0,298
2012-10-15,Monday,0,520
2012-10-16,Tuesday,0,560
2012-10-17,Wednesday,0,565
2012-10-18,Thursday,0,506
2012-10-19,Friday,0,536
2012-10-20,Saturday,0,380
2012-10-21,Sunday,0,367
2012-10-22,Monday,0,561
2012-10-23,Tuesday,0,539
2012-10-24,Wednesday,0,544
2012-10-25,Thursday,0,570
2012-10-26,Friday,1,723
2012-10-27,Saturday,1,458
2012-10-28,Sunday,0,261
2012-10-29,Monday,0,559
2012-10-30,Tuesday,0,572
2012-10-31,Wednesday,0,511
2012-11-01,Thursday,0,666
2012-11-02,Friday,0,505
2012-11-03,Saturday,0,286
2012-11-04,Sunday,0,343
2012-11-05,Monday,0,636
2012-11-06,Tuesday,0,672
2012-11-07,Wednesday,0,549
2012-11-08,Thursday,0,638
2012-11-09,Friday,0,573
2012-11-10,Saturday,0,330
2012-11-11,Sunday,0,365
2012-11-12,Monday,0,613
2012-11-13,Tuesday,1,727
2012-11-14,Wednesday,0,661
2012-11-15,Thursday,0,655
2012-11-16,Friday,0,539
2012-11-17,Saturday,0,349
2012-11-18,Sunday,0,352
2012-11-19,Monday,0,591
2012-11-20,Tuesday,0,544
2012-11-21,Wednesday,0,537
2012-11-22,Thursday,0,574
2012-11-23,Friday,0,643
2012-11-24,Saturday,1,531
2012-11-25,Sunday,0,323
2012-11-26,Monday,0,620
2012-11-27,Tuesday,0,411
2012-11-28,Wednesday,0,642
2012-11-29,Thursday,0,475
2012-11-30,Friday,0,555
2012-12-01,Saturday,0,318
2012-12-02,Sunday,0,311
2012-12-03,Monday,0,685
2012-12-04,Tuesday,0,585
2012-12-05,Wednesday,0,635
2012-12-06,Thursday,0,611
2012-12-07,Friday,0,643
2012-12-08,Saturday,0,361
2012-12-09,Sunday,0,312
2012-12-10,Monday,0,675
2012-12-11,Tuesday,0,584
2012-12-12,Wednesday,0,518
2012-12-13,Thursday,0,588
2012-12-14,Friday,0,706
2012-12-15,Saturday,0,388
2012-12-16,Sunday,0,345
2012-12-17,Monday,0,592
2012-12-18,Tuesday,0,594
2012-12-19,Wednesday,0,741
2012-12-20,Thursday,0,637
2012-12-21,Friday,0,640
2012-12-22,Saturday,0,395
2012-12-23,Sunday,0,366
2012-12-24,Monday,0,598
2012-12-25,Tuesday,1,903
2012-12-26,Wednesday,0,610
2012-12-27,Thursday,0,612
2012-12-28,Friday,0,659
2012-12-29,Saturday,0,360
2012-12-30,Sunday,0,384
2012-12-31,Monday,0,609
2013-01-01,Tuesday,0,478
2013-01-02,Wednesday,0,380
2013-01-03,Thursday,0,518
2013-01-04,Friday,0,491
2013-01-05,Saturday,0,304
2013-01-06,Sunday,0,196
2013-01-07,Monday,0,574
2013-01-08,Tuesday,0,468
2013-01-09,Wednesday,0,527
2013-01-10,Thursday,0,425
2013-01-11,Friday,0,504
2013-01-12,Saturday,0,247
2013-01-13,Sunday,0,259
2013-01-14,Monday,1,849
2013-01-15,Tuesday,0,466
2013-01-16,Wednesday,0,485
2013-01-17,Thursday,0,516
2013-01-18,Friday,0,498
2013-01-19,Saturday,0,281
2013-01-20,Sunday,0,287
2013-01-21,Monday,0,589
2013-01-22,Tuesday,0,472
2013-01-23,Wednesday,0,484
2013-01-24,Thursday,1,787
2013-01-25,Friday,0,527
2013-01-26,Saturday,1,465
2013-01-27,Sunday,0,294
2013-01-28,Monday,0,420
2013-01-29,Tuesday,0,552
2013-01-30,Wednesday,0,420
2013-01-31,Thursday,0,489
2013-02-01,Friday,0,402
2013-02-02,Saturday,0,252
2013-02-03,Sunday,0,262
2013-02-04,Monday,0,449
2013-02-05,Tuesday,0,453
2013-02-06,Wednesday,0,505
2013-02-07,Thursday,0,455
2013-02-08,Friday,0,424
2013-02-09,Saturday,0,278
2013-02-10,Sunday,0,284
2013-02-11,Monday,0,382
2013-02-12,Tuesday,0,461
2013-02-13,Wednesday,0,466
2013-02-14,Thursday,0,422
2013-02-15,Friday,0,495
2013-02-16,Saturday,0,250
2013-02-17,Sunday,0,257
2013-02-18,Monday,0,428
2013-02-19,Tuesday,0,436
2013-02-20,Wednesday,0,387
2013-02-21,Thursday,0,372
2013-02-22,Friday,0,505
2013-02-23,Saturday,0,232
2013-02-24,Sunday,0,228
2013-02-25,Monday,0,341
2013-02-26,Tuesday,0,407
2013-02-27,Wednesday,0,377
2013-02-28,Thursday,0,507
2013-03-01,Friday,0,566
2013-03-02,Saturday,0,279
2013-03-03,Sunday,0,367
2013-03-04,Monday,0,565
2013-03-05,Tuesday,0,498
2013-03-06,Wednesday,0,386
2013-03-07,Thursday,0,632
2013-03-08,Friday,0,443
2013-03-09,Saturday,0,250
2013-03-10,Sunday,0,331
2013-03-11,Monday,0,640
2013-03-12,Tuesday,0,586
2013-03-13,Wednesday,0,543
2013-03-14,Thursday,0,545
2013-03-15,Friday,0,558
2013-03-16,Saturday,0,323
2013-03-17,Sunday,0,308
2013-03-18,Monday,0,520
2013-03-19,Tuesday,0,511
2013-03-20,Wednesday,0,475
2013-03-21,Thursday,0,500
2013-03-22,Friday,0,427
2013-03-23,Saturday,0,297
2013-03-24,Sunday,1,405
2013-03-25,Monday,0,457
2013-03-26,Tuesday,0,524
2013-03-27,Wednesday,1,879
2013-03-28,Thursday,0,562
2013-03-29,Friday,1,650
2013-03-30,Saturday,0,270
2013-03-31,Sunday,1,492
2013-04-01,Monday,0,321
2013-04-02,Tuesday,0,348
2013-04-03,Wednesday,0,376
2013-04-04,Thursday,0,321
2013-04-05,Friday,0,360
2013-04-06,Saturday,0,180
2013-04-07,Sunday,0,195
2013-04-08,Monday,0,367
2013-04-09,Tuesday,0,299
2013-04-10,Wednesday,0,372
2013-04-11,Thursday,0,355
2013-04-12,Friday,0,376
2013-04-13,Saturday,0,212
2013-04-14,Sunday,0,236
2013-04-15,Monday,0,360
2013-04-16,Tuesday,0,341
2013-04-17,Wednesday,0,360
2013-04-18,Thursday,0,375
2013-04-19,Friday,0,358
2013-04-20,Saturday,0,208
2013-04-21,Sunday,0,193
2013-04-22,Monday,0,332
2013-04-23,Tuesday,0,306
2013-04-24,Wednesday,0,418
2013-04-25,Thursday,0,312
2013-04-26,Friday,0,331
2013-04-27,Saturday,0,192
2013-04-28,Sunday,0,226
2013-04-29,Monday,0,345
2013-04-30,Tuesday,0,400
2013-05-01,Wednesday,1,443
2013-05-02,Thursday,0,325
2013-05-03,Friday,0,290
2013-05-04,Saturday,0,224
2013-05-05,Sunday,0,162
2013-05-06,Monday,0,326
2013-05-07,Tuesday,0,336
2013-05-08,Wednesday,0,329
2013-05-09,Thursday,0,310
2013-05-10,Friday,0,312
2013-05-11,Saturday,0,185
2013-05-12,Sunday,0,182
2013-05-13,Monday,0,347
2013-05-14,Tuesday,0,386
2013-05-15,Wednesday,0,299
2013-05-16,Thursday,0,273
2013-05-17,Friday,0,314
2013-05-18,Saturday,0,232
2013-05-19,Sunday,1,254
2013-05-20,Monday,0,368
2013-05-21,Tuesday,0,369
2013-05-22,Wednesday,0,299
2013-05-23,Thursday,0,334
2013-05-24,Friday,0,368
2013-05-25,Saturday,0,177
2013-05-26,Sunday,0,181
2013-05-27,Monday,0,298
2013-05-28,Tuesday,0,284
2013-05-29,Wednesday,0,296
2013-05-30,Thursday,0,278
2013-05-31,Friday,0,317
2013-06-01,Saturday,0,149
2013-06-02,Sunday,0,165
2013-06-03,Monday,0,234
2013-06-04,Tuesday,0,286
2013-06-05,Wednesday,0,300
2013-06-06,Thursday,0,221
2013-06-07,Friday,0,287
2013-06-08,Saturday,0,181
2013-06-09,Sunday,0,142
2013-06-10,Monday,0,323
2013-06-11,Tuesday,0,288
2013-06-12,Wednesday,0,257
2013-06-13,Thursday,0,275
2013-06-14,Friday,0,292
2013-06-15,Saturday,0,162
2013-06-16,Sunday,0,170
2013-06-17,Monday,0,251
2013-06-18,Tuesday,0,281
2013-06-19,Wednesday,0,238
2013-06-20,Thursday,0,274
2013-06-21,Friday,0,252
2013-06-22,Saturday,0,149
2013-06-23,Sunday,0,181
2013-06-24,Monday,0,307
2013-06-25,Tuesday,0,294
2013-06-26,Wednesday,0,246
2013-06-27,Thursday,0,268
2013-06-28,Friday,0,310
2013-06-29,Saturday,0,163
2013-06-30,Sunday,0,199
2013-07-01,Monday,0,370
2013-07-02,Tuesday,0,363
2013-07-03,Wednesday,0,345
2013-07-04,Thursday,0,361
2013-07-05,Friday,0,350
2013-07-06,Saturday,0,222
2013-07-07,Sunday,0,227
2013-07-08,Monday,0,328
2013-07-09,Tuesday,0,308
2013-07-10,Wednesday,0,290
2013-07-11,Thursday,0,374
2013-07-12,Friday,0,317
2013-07-13,Saturday,0,163
2013-07-14,Sunday,0,215
2013-07-15,Monday,0,445
2013-07-16,Tuesday,0,356
2013-07-17,Wednesday,0,386
2013-07-18,Thursday,0,359
2013-07-19,Friday,0,352
2013-07-20,Saturday,0,227
2013-07-21,Sunday,0,201
2013-07-22,Monday,0,365
2013-07-23,Tuesday,0,367
2013-07-24,Wednesday,0,332
2013-07-25,Thursday,0,391
2013-07-26,Friday,0,350
2013-07-27,Saturday,0,192
2013-07-28,Sunday,0,219
2013-07-29,Monday,0,324
2013-07-30,Tuesday,0,357
2013-07-31,Wednesday,0,356
2013-08-01,Thursday,0,439
2013-08-02,Friday,0,414
2013-08-03,Saturday,0,230
2013-08-04,Sunday,0,249
2013-08-05,Monday,0,451
2013-08-06,Tuesday,0,418
2013-08-07,Wednesday,0,396
2013-08-08,Thursday,1,516
2013-08-09,Friday,1,530
2013-08-10,Saturday,0,223
2013-08-11,Sunday,0,216
2013-08-12,Monday,0,388
2013-08-13,Tuesday,0,398
2013-08-14,Wednesday,0,416
2013-08-15,Thursday,1,589
2013-08-16,Friday,0,415
2013-08-17,Saturday,0,232
2013-08-18,Sunday,0,185
2013-08-19,Monday,0,358
2013-08-20,Tuesday,0,390
2013-08-21,Wednesday,0,348
2013-08-22,Thursday,0,419
2013-08-23,Friday,0,456
2013-08-24,Saturday,0,259
2013-08-25,Sunday,0,226
2013-08-26,Monday,0,455
2013-08-27,Tuesday,0,401
2013-08-28,Wednesday,0,382
2013-08-29,Thursday,0,371
2013-08-30,Friday,0,384
2013-08-31,Saturday,0,222
2013-09-01,Sunday,0,258
2013-09-02,Monday,0,442
2013-09-03,Tuesday,0,435
2013-09-04,Wednesday,0,454
2013-09-05,Thursday,0,487
2013-09-06,Friday,0,476
2013-09-07,Saturday,0,216
2013-09-08,Sunday,0,189
2013-09-09,Monday,0,476
2013-09-10,Tuesday,0,376
2013-09-11,Wednesday,0,425
2013-09-12,Thursday,0,384
2013-09-13,Friday,0,357
2013-09-14,Saturday,0,267
2013-09-15,Sunday,0,273
2013-09-16,Monday,0,410
2013-09-17,Tuesday,0,322
2013-09-18,Wednesday,0,411
2013-09-19,Thursday,0,452
2013-09-20,Friday,0,371
2013-09-21,Saturday,0,258
2013-09-22,Sunday,0,253
2013-09-23,Monday,0,460
2013-09-24,Tuesday,0,440
2013-09-25,Wednesday,0,393
2013-09-26,Thursday,0,487
2013-09-27,Friday,0,428
2013-09-28,Saturday,0,253
2013-09-29,Sunday,0,230
2013-09-30,Monday,0,416
2013-10-01,Tuesday,0,505
2013-10-02,Wednesday,1,817
2013-10-03,Thursday,0,649
2013-10-04,Friday,0,478
2013-10-05,Saturday,0,271
2013-10-06,Sunday,0,370
2013-10-07,Monday,0,542
2013-10-08,Tuesday,0,517
2013-10-09,Wednesday,0,612
2013-10-10,Thursday,0,520
2013-10-11,Friday,0,655
2013-10-12,Saturday,0,345
2013-10-13,Sunday,0,307
2013-10-14,Monday,0,674
2013-10-15,Tuesday,1,781
2013-10-16,Wednesday,1,893
2013-10-17,Thursday,0,570
2013-10-18,Friday,0,626
2013-10-19,Saturday,0,373
2013-10-20,Sunday,0,324
2013-10-21,Monday,0,512
2013-10-22,Tuesday,0,579
2013-10-23,Wednesday,0,516
2013-10-24,Thursday,0,666
2013-10-25,Friday,0,561
2013-10-26,Saturday,0,311
2013-10-27,Sunday,0,329
2013-10-28,Monday,0,479
2013-10-29,Tuesday,0,500
2013-10-30,Wednesday,0,620
2013-10-31,Thursday,0,517
2013-11-01,Friday,0,531
2013-11-02,Saturday,0,365
2013-11-03,Sunday,1,581
2013-11-04,Monday,0,636
2013-11-05,Tuesday,0,653
2013-11-06,Wednesday,0,549
2013-11-07,Thursday,0,509
2013-11-08,Friday,0,683
2013-11-09,Saturday,0,335
2013-11-10,Sunday,0,337
2013-11-11,Monday,0,672
2013-11-12,Tuesday,0,627
2013-11-13,Wednesday,1,931
2013-11-14,Thursday,0,722
2013-11-15,Friday,0,555
2013-11-16,Saturday,0,378
2013-11-17,Sunday,0,348
2013-11-18,Monday,0,609
2013-11-19,Tuesday,0,684
2013-11-20,Wednesday,0,624
2013-11-21,Thursday,0,625
2013-11-22,Friday,0,657
2013-11-23,Saturday,0,333
2013-11-24,Sunday,0,317
2013-11-25,Monday,0,531
2013-11-26,Tuesday,0,477
2013-11-27,Wednesday,0,716
2013-11-28,Thursday,0,528
2013-11-29,Friday,0,580
2013-11-30,Saturday,0,336
2013-12-01,Sunday,0,380
2013-12-02,Monday,0,685
2013-12-03,Tuesday,0,688
2013-12-04,Wednesday,0,596
2013-12-05,Thursday,0,623
2013-12-06,Friday,0,651
2013-12-07,Saturday,0,360
2013-12-08,Sunday,0,429
2013-12-09,Monday,0,664
2013-12-10,Tuesday,0,680
2013-12-11,Wednesday,0,675
2013-12-12,Thursday,0,707
2013-12-13,Friday,0,645
2013-12-14,Saturday,0,321
2013-12-15,Sunday,0,384
2013-12-16,Monday,0,592
2013-12-17,Tuesday,0,600
2013-12-18,Wednesday,0,670
2013-12-19,Thursday,0,712
2013-12-20,Friday,0,634
2013-12-21,Saturday,0,381
2013-12-22,Sunday,0,432
2013-12-23,Monday,0,648
2013-12-24,Tuesday,0,798
2013-12-25,Wednesday,1,1000
2013-12-26,Thursday,0,522
2013-12-27,Friday,0,681
2013-12-28,Saturday,0,383
2013-12-29,Sunday,0,417
2013-12-30,Monday,0,676
2013-12-31,Tuesday,0,624
2014-01-01,Wednesday,0,429
2014-01-02,Thursday,0,479
2014-01-03,Friday,0,447
2014-01-04,Saturday,0,269
2014-01-05,Sunday,0,302
2014-01-06,Monday,0,571
2014-01-07,Tuesday,0,508
2014-01-08,Wednesday,0,431
2014-01-09,Thursday,0,511
2014-01-10,Friday,0,548
2014-01-11,Saturday,0,268
2014-01-12,Sunday,0,281
2014-01-13,Monday,1,735
2014-01-14,Tuesday,1,676
2014-01-15,Wednesday,0,521
2014-01-16,Thursday,0,483
2014-01-17,Friday,0,510
2014-01-18,Saturday,0,260
2014-01-19,Sunday,0,273
2014-01-20,Monday,0,524
2014-01-21,Tuesday,0,471
2014-01-22,Wednesday,0,574
2014-01-23,Thursday,0,470
2014-01-24,Friday,0,500
2014-01-25,Saturday,0,312
2014-01-26,Sunday,1,367
2014-01-27,Monday,0,403
2014-01-28,Tuesday,0,414
2014-01-29,Wednesday,0,551
2014-01-30,Thursday,0,462
2014-01-31,Friday,0,614
2014-02-01,Saturday,0,247
2014-02-02,Sunday,0,266
2014-02-03,Monday,0,518
2014-02-04,Tuesday,0,538
2014-02-05,Wednesday,0,541
2014-02-06,Thursday,0,503
2014-02-07,Friday,0,494
2014-02-08,Saturday,0,277
2014-02-09,Sunday,0,282
2014-02-10,Monday,0,424
2014-02-11,Tuesday,0,412
2014-02-12,Wednesday,0,448
2014-02-13,Thursday,0,441
2014-02-14,Friday,0,428
2014-02-15,Saturday,0,280
2014-02-16,Sunday,0,286
2014-02-17,Monday,0,452
2014-02-18,Tuesday,0,515
2014-02-19,Wednesday,0,397
2014-02-20,Thursday,0,440
2014-02-21,Friday,0,416
2014-02-22,Saturday,0,212
2014-02-23,Sunday,0,259
2014-02-24,Monday,0,443
2014-02-25,Tuesday,0,516
2014-02-26,Wednesday,0,477
2014-02-27,Thursday,0,402
2014-02-28,Friday,0,532
2014-03-01,Saturday,0,347
2014-03-02,Sunday,0,327
2014-03-03,Monday,0,518
2014-03-04,Tuesday,0,479
2014-03-05,Wednesday,0,510
2014-03-06,Thursday,0,588
2014-03-07,Friday,0,630
2014-03-08,Saturday,0,357
2014-03-09,Sunday,0,294
2014-03-10,Monday,0,471
2014-03-11,Tuesday,0,537
2014-03-12,Wednesday,0,436
2014-03-13,Thursday,0,547
2014-03-14,Friday,0,522
2014-03-15,Saturday,0,294
2014-03-16,Sunday,0,260
2014-03-17,Monday,1,836
2014-03-18,Tuesday,0,502
2014-03-19,Wednesday,0,468
2014-03-20,Thursday,0,378
2014-03-21,Friday,0,528
2014-03-22,Saturday,0,364
2014-03-23,Sunday,0,360
2014-03-24,Monday,0,506
2014-03-25,Tuesday,0,498
2014-03-26,Wednesday,0,555
2014-03-27,Thursday,0,477
2014-03-28,Friday,0,546
2014-03-29,Saturday,0,333
2014-03-30,Sunday,0,347
2014-03-31,Monday,0,525
2014-04-01,Tuesday,0,359
2014-04-02,Wednesday,0,334
2014-04-03,Thursday,0,336
2014-04-04,Friday,0,358
2014-04-05,Saturday,0,222
2014-04-06,Sunday,0,233
2014-04-07,Monday,0,337
2014-04-08,Tuesday,0,422
2014-04-09,Wednesday,0,357
2014-04-10,Thursday,0,366
2014-04-11,Friday,0,339
2014-04-12,Saturday,0,162
2014-04-13,Sunday,1,349
2014-04-14,Monday,0,394
2014-04-15,Tuesday,0,356
2014-04-16,Wednesday,0,369
2014-04-17,Thursday,0,386
2014-04-18,Friday,1,464
2014-04-19,Saturday,0,202
2014-04-20,Sunday,1,346
2014-04-21,Monday,0,321
2014-04-22,Tuesday,0,377
2014-04-23,Wednesday,0,317
2014-04-24,Thursday,0,384
2014-04-25,Friday,0,365
2014-04-26,Saturday,0,179
2014-04-27,Sunday,0,239
2014-04-28,Monday,0,340
2014-04-29,Tuesday,0,337
2014-04-30,Wednesday,0,374
2014-05-01,Thursday,1,545
2014-05-02,Friday,0,293
2014-05-03,Saturday,0,191
2014-05-04,Sunday,0,198
2014-05-05,Monday,0,349
2014-05-06,Tuesday,0,332
2014-05-07,Wednesday,0,314
2014-05-08,Thursday,0,299
2014-05-09,Friday,0,329
2014-05-10,Saturday,0,169
2014-05-11,Sunday,0,134
2014-05-12,Monday,0,340
2014-05-13,Tuesday,0,355
2014-05-14,Wednesday,0,249
2014-05-15,Thursday,0,293
2014-05-16,Friday,0,346
2014-05-17,Saturday,0,229
2014-05-18,Sunday,0,190
2014-05-19,Monday,0,302
2014-05-20,Tuesday,0,320
2014-05-21,Wednesday,0,371
2014-05-22,Thursday,0,305
2014-05-23,Friday,0,300
2014-05-24,Saturday,0,181
2014-05-25,Sunday,0,172
2014-05-26,Monday,0,330
2014-05-27,Tuesday,0,379
2014-05-28,Wednesday,0,336
2014-05-29,Thursday,0,318
2014-05-30,Friday,0,316
2014-05-31,Saturday,0,160
2014-06-01,Sunday,0,181
2014-06-02,Monday,0,283
2014-06-03,Tuesday,0,280
2014-06-04,Wednesday,0,376
2014-06-05,Thursday,0,294
2014-06-06,Friday,0,264
2014-06-07,Saturday,0,159
2014-06-08,Sunday,1,278
2014-06-09,Monday,0,288
2014-06-10,Tuesday,0,244
2014-06-11,Wednesday,0,311
2014-06-12,Thursday,0,266
2014-06-13,Friday,0,339
2014-06-14,Saturday,0,184
2014-06-15,Sunday,0,159
2014-06-16,Monday,0,322
2014-06-17,Tuesday,0,287
2014-06-18,Wednesday,0,309
2014-06-19,Thursday,0,299
2014-06-20,Friday,0,261
2014-06-21,Saturday,0,155
2014-06-22,Sunday,0,183
2014-06-23,Monday,0,276
2014-06-24,Tuesday,0,274
2014-06-25,Wednesday,0,258
2014-06-26,Thursday,0,297
2014-06-27,Friday,0,344
2014-06-28,Saturday,0,148
2014-06-29,Sunday,0,167
2014-06-30,Monday,0,325
2014-07-01,Tuesday,0,364
2014-07-02,Wednesday,0,383
2014-07-03,Thursday,0,328
2014-07-04,Friday,0,382
2014-07-05,Saturday,0,210
2014-07-06,Sunday,0,235
2014-07-07,Monday,0,410
2014-07-08,Tuesday,0,462
2014-07-09,Wednesday,0,388
2014-07-10,Thursday,0,379
2014-07-11,Friday,0,374
2014-07-12,Saturday,0,206
2014-07-13,Sunday,0,221
2014-07-14,Monday,0,356
2014-07-15,Tuesday,0,373
2014-07-16,Wednesday,0,415
2014-07-17,Thursday,0,330
2014-07-18,Friday,0,409
2014-07-19,Saturday,0,242
2014-07-20,Sunday,0,211
2014-07-21,Monday,0,289
2014-07-22,Tuesday,0,344
2014-07-23,Wednesday,0,414
2014-07-24,Thursday,0,366
2014-07-25,Friday,0,330
2014-07-26,Saturday,0,203
2014-07-27,Sunday,0,232
2014-07-28,Monday,1,580
2014-07-29,Tuesday,1,537
2014-07-30,Wednesday,0,353
2014-07-31,Thursday,0,352
2014-08-01,Friday,0,370
2014-08-02,Saturday,0,276
2014-08-03,Sunday,0,230
2014-08-04,Monday,0,457
2014-08-05,Tuesday,0,470
2014-08-06,Wednesday,0,448
2014-08-07,Thursday,0,390
2014-08-08,Friday,0,424
2014-08-09,Saturday,0,237
2014-08-10,Sunday,0,216
2014-08-11,Monday,0,421
2014-08-12,Tuesday,0,359
2014-08-13,Wednesday,0,456
2014-08-14,Thursday,0,389
2014-08-15,Friday,1,624
2014-08-16,Saturday,0,244
2014-08-17,Sunday,0,231
2014-08-18,Monday,0,431
2014-08-19,Tuesday,0,388
2014-08-20,Wednesday,0,443
2014-08-21,Thursday,0,353
2014-08-22,Friday,0,413
2014-08-23,Saturday,0,284
2014-08-24,Sunday,0,214
2014-08-25,Monday,0,380
2014-08-26,Tuesday,0,428
2014-08-27,Wednesday,0,415
2014-08-28,Thursday,0,422
2014-08-29,Friday,0,427
2014-08-30,Saturday,0,253
2014-08-31,Sunday,0,264
2014-09-01,Monday,0,467
2014-09-02,Tuesday,0,437
2014-09-03,Wednesday,0,478
2014-09-04,Thursday,0,534
2014-09-05,Friday,0,442
2014-09-06,Saturday,0,236
2014-09-07,Sunday,0,290
2014-09-08,Monday,0,443
2014-09-09,Tuesday,0,351
2014-09-10,Wednesday,0,486
2014-09-11,Thursday,0,424
2014-09-12,Friday,0,444
2014-09-13,Saturday,0,270
2014-09-14,Sunday,0,266
2014-09-15,Monday,0,480
2014-09-16,Tuesday,0,429
2014-09-17,Wednesday,0,471
2014-09-18,Thursday,0,437
2014-09-19,Friday,0,481
2014-09-20,Saturday,0,277
2014-09-21,Sunday,0,237
2014-09-22,Monday,0,497
2014-09-23,Tuesday,0,424
2014-09-24,Wednesday,0,485
2014-09-25,Thursday,0,465
2014-09-26,Friday,0,531
2014-09-27,Saturday,0,255
2014-09-28,Sunday,0,252
2014-09-29,Monday,0,447
2014-09-30,Tuesday,0,435
2014-10-01,Wednesday,0,616
2014-10-02,Thursday,1,718
2014-10-03,Friday,0,511
2014-10-04,Saturday,1,446
2014-10-05,Sunday,1,547
2014-10-06,Monday,0,668
2014-10-07,Tuesday,0,565
2014-10-08,Wednesday,0,561
2014-10-09,Thursday,0,575
2014-10-10,Friday,0,637
2014-10-11,Saturday,0,302
